code,status,imported_t,url,creator,created_t,last_modified_t,product_name,quantity,brands,categories,labels,cities,purchase_places,stores,ingredients_text,traces,serving_size,serving_quantity,nutriscore_score,nutriscore_grade,main_category,image_url
891079012208,published,2021-10-15T00:51:58,https://www.harris.net/,davissabrina,1478394974,309434641,Integrated secondary instruction set,300 g,Curtis Inc,"['listen', 'color', 'ground', 'admit']","['develop', 'cut', 'material']",North Brittanybury,there,Ltd,Hope rule candidate artist until eight from as.,"['political', 'event']",100 g,20,21,a,natural,https://placekitten.com/276/264
10975992,draft,2020-02-07T15:38:46,http://www.krueger.com/,charrison,1333895309,542057303,Reactive attitude-oriented interface,200 g,"Clarke, Carter and Wilkerson","['family', 'right', 'energy', 'approach']","['down', 'decide', 'between']",Elizabethchester,compare,Ltd,Maybe generation member.,"['hour', 'example']",75 g,70,3,c,need,https://picsum.photos/502/855
7898901621249,draft,2021-11-27T06:30:10,https://potter.com/,douglasgarcia,1598505910,1047447127,Enterprise-wide system-worthy matrices,100 g,Anderson-Buckley,"['important', 'education', 'many', 'skill']","['quickly', 'American', 'draw']",Jacksonburgh,collection,and Sons,Data effect process.,"['nor', 'wait']",50 g,70,58,b,add,https://placekitten.com/916/927
7898253589433,draft,2022-09-25T22:15:55,http://www.johnson-thompson.com/,juliecooper,654867124,889054541,Robust high-level utilization,100 g,Moore-Duran,"['radio', 'movie', 'describe', 'manager']","['bad', 'attorney', 'study']",Grantville,imagine,and Sons,Article finish possible.,"['huge', 'speak']",100 g,60,63,b,really,https://dummyimage.com/254x295
3014680009175,published,2021-08-03T02:36:48,http://walker-johnson.com/,wlynch,1050170328,486093220,Polarized optimal conglomeration,100 g,Hale Ltd,"['address', 'positive', 'hot', 'few']","['film', 'natural', 'become']",East Meganberg,activity,Group,Leave most former responsibility peace or.,"['enjoy', 'help']",50 g,90,1,d,care,https://picsum.photos/926/871
7896224800679,published,2022-03-15T02:43:09,http://reeves.com/,catherine11,1274814669,1423329060,Fundamental incremental matrices,200 g,Thomas-Johnson,"['huge', 'nation', 'important', 'name']","['religious', 'candidate', 'evening']",Dawnport,money,LLC,Can become stand decision window fire none.,"['couple', 'want']",100 g,100,56,d,event,https://dummyimage.com/254x168
7896044955962,draft,2022-09-30T02:03:59,http://www.arellano.com/,hessrobert,1270860531,706211215,Cloned coherent conglomeration,100 g,Boyd-Mills,"['challenge', 'thank', 'though', 'who']","['your', 'pay', 'worker']",North Dustin,Democrat,Group,Ask whatever finish large.,"['movie', 'build']",100 g,90,58,a,trade,https://dummyimage.com/777x384
59534,published,2023-02-27T22:24:25,http://peterson-green.org/,mnolan,925453403,905042202,Optimized eco-centric leverage,200 g,Knox-Martin,"['word', 'job', 'memory', 'response']","['very', 'say', 'then']",East Mariamouth,impact,Group,Pm really forget church prove.,"['side', 'sign']",50 g,20,41,e,early,https://picsum.photos/622/874
7892840814861,draft,2022-03-28T14:59:57,https://nichols.com/,sperez,1610680104,1267215191,Multi-channeled eco-centric extranet,300 g,"Evans, Collins and Smith","['improve', 'shoulder', 'name', 'leg']","['benefit', 'message', 'red']",Zacharyborough,learn,LLC,Benefit support join play.,"['onto', 'power']",100 g,50,59,b,senior,https://picsum.photos/876/743
7613034968364,published,2023-06-26T01:46:12,https://www.cunningham.org/,obell,785846571,900182503,Persevering systemic open system,200 g,George LLC,"['candidate', 'war', 'rule', 'either']","['specific', 'enough', 'open']",Sheltontown,cover,Inc,Can director admit.,"['past', 'six']",100 g,70,20,a,painting,https://dummyimage.com/894x171
